child_id,group,corpus,n_utterances,ref_words,whisper_wer,gensec_wer,improvement
11070,LT,EllisWeismer,71,147,0.8503401360544217,0.6938775510204082,0.15646258503401356
11078,LT,EllisWeismer,30,230,0.6043478260869565,0.5782608695652174,0.02608695652173909
12080,LT,EllisWeismer,91,729,0.6186556927297668,0.5596707818930041,0.058984910836762716
1960-03-01_00_00_00,LT,Rescorla,90,386,0.7772020725388601,0.7331606217616581,0.04404145077720201
22161,LT,EllisWeismer,21,81,0.6666666666666666,0.5679012345679012,0.09876543209876543
22169,LT,EllisWeismer,15,95,0.7263157894736842,0.6947368421052632,0.03157894736842104
527,LT,ENNI,131,721,0.33841886269070737,0.30513176144244103,0.03328710124826634
531,LT,ENNI,37,111,0.9369369369369369,0.963963963963964,-0.027027027027027084
568,LT,ENNI,58,251,0.6733067729083665,0.5856573705179283,0.08764940239043817
569,LT,ENNI,92,447,0.4608501118568233,0.4228187919463087,0.03803131991051456
667,LT,ENNI,92,552,0.5235507246376812,0.4438405797101449,0.07971014492753625
678,LT,ENNI,75,579,0.4749568221070812,0.385146804835924,0.08981001727115717
727,LT,ENNI,73,472,0.6673728813559322,0.5932203389830508,0.07415254237288138
729,LT,ENNI,136,632,0.5917721518987342,0.6012658227848101,-0.009493670886075889
733,LT,ENNI,66,495,0.38181818181818183,0.2727272727272727,0.10909090909090913
870,LT,ENNI,63,373,0.42359249329758714,0.35656836461126007,0.06702412868632707
bel60,LT,Rescorla,91,342,0.9473684210526315,0.9678362573099415,-0.020467836257309968
bre60,LT,Rescorla,104,407,0.7051597051597052,0.6855036855036855,0.019656019656019708
chi108,LT,Rescorla,91,671,0.46795827123695977,0.3740685543964232,0.09388971684053654
chi60,LT,Rescorla,106,348,0.735632183908046,0.735632183908046,0.0
kil108,LT,Rescorla,107,949,0.6385669125395153,0.5679662802950474,0.07060063224446789
lew108,LT,Rescorla,91,696,0.9525862068965517,0.8362068965517241,0.11637931034482762
mel60,LT,Rescorla,24,170,0.9058823529411765,0.8764705882352941,0.02941176470588236
pao60,LT,Rescorla,75,237,0.8818565400843882,0.8649789029535865,0.016877637130801704
phi60,LT,Rescorla,88,335,0.7820895522388059,0.8,-0.017910447761194104
son60,LT,Rescorla,95,330,0.8,0.8,0.0
spi60,LT,Rescorla,82,339,0.8200589970501475,0.8171091445427728,0.002949852507374673
sul108,LT,Rescorla,62,545,0.6568807339449542,0.6422018348623854,0.014678899082568808
sul60,LT,Rescorla,74,237,0.9324894514767933,0.9662447257383966,-0.033755274261603296
050120d,TD,MacWhinney,124,709,0.6741889985895627,0.5641748942172073,0.11001410437235537
050622b,TD,MacWhinney,60,389,0.8123393316195373,0.5449871465295629,0.2673521850899744
050622d,TD,MacWhinney,92,437,0.9565217391304348,0.4919908466819222,0.4645308924485126
