child_id,group,corpus,n_utterances,ref_words,whisper_wer,gensec_wer,improvement
11070,LT,EllisWeismer,71,147,0.7142857142857143,0.6666666666666666,0.04761904761904767
11078,LT,EllisWeismer,30,230,0.6,0.5695652173913044,0.030434782608695587
12080,LT,EllisWeismer,91,729,0.6296296296296297,0.5802469135802469,0.04938271604938271
1960-03-01_00_00_00,LT,Rescorla,90,386,0.8393782383419689,0.7227979274611399,0.11658031088082899
22161,LT,EllisWeismer,21,81,0.6419753086419753,0.5432098765432098,0.09876543209876543
22169,LT,EllisWeismer,15,95,0.8,0.6736842105263158,0.12631578947368427
527,LT,ENNI,131,721,0.34257975034674065,0.3287101248266297,0.01386962552011095
531,LT,ENNI,37,111,0.9279279279279279,0.963963963963964,-0.03603603603603611
568,LT,ENNI,58,251,0.6414342629482072,0.6215139442231076,0.019920318725099584
569,LT,ENNI,92,447,0.45861297539149887,0.40492170022371365,0.05369127516778521
667,LT,ENNI,92,552,0.4891304347826087,0.4528985507246377,0.03623188405797101
678,LT,ENNI,75,579,0.49222797927461137,0.3799654576856649,0.11226252158894645
727,LT,ENNI,73,472,0.673728813559322,0.5932203389830508,0.0805084745762712
729,LT,ENNI,136,632,0.5901898734177216,0.5712025316455697,0.01898734177215189
733,LT,ENNI,66,495,0.35555555555555557,0.27474747474747474,0.08080808080808083
870,LT,ENNI,63,373,0.44235924932975873,0.35924932975871315,0.08310991957104558
bel60,LT,Rescorla,91,342,0.9444444444444444,0.956140350877193,-0.011695906432748537
bre60,LT,Rescorla,104,407,0.6855036855036855,0.6928746928746928,-0.0073710073710073765
chi108,LT,Rescorla,91,671,0.481371087928465,0.36959761549925485,0.11177347242921015
chi60,LT,Rescorla,106,348,0.6982758620689655,0.7614942528735632,-0.06321839080459768
kil108,LT,Rescorla,107,949,0.6396206533192834,0.5226554267650158,0.11696522655426767
lew108,LT,Rescorla,91,696,0.9683908045977011,0.8462643678160919,0.12212643678160917
mel60,LT,Rescorla,24,170,0.9411764705882353,0.9352941176470588,0.00588235294117645
pao60,LT,Rescorla,75,237,0.9071729957805907,0.8987341772151899,0.008438818565400852
phi60,LT,Rescorla,88,335,0.8,0.7492537313432835,0.0507462686567165
son60,LT,Rescorla,95,330,0.7424242424242424,0.806060606060606,-0.0636363636363636
spi60,LT,Rescorla,82,339,0.8230088495575221,0.8436578171091446,-0.020648967551622488
sul108,LT,Rescorla,62,545,0.6862385321100918,0.6238532110091743,0.062385321100917435
sul60,LT,Rescorla,74,237,0.9156118143459916,0.9873417721518988,-0.07172995780590719
050120d,TD,MacWhinney,124,709,0.6657263751763046,0.6248236953455572,0.04090267983074747
050622b,TD,MacWhinney,60,389,0.7712082262210797,0.4910025706940874,0.2802056555269922
050622d,TD,MacWhinney,92,437,1.1075514874141876,0.4851258581235698,0.6224256292906178
051016d,TD,MacWhinney,20,146,0.6095890410958904,0.3767123287671233,0.2328767123287671
051117b,TD,MacWhinney,91,695,0.6316546762589929,0.5323741007194245,0.09928057553956837
051117d,TD,MacWhinney,69,367,0.5994550408719346,0.5722070844686649,0.027247956403269713
060002c,TD,MacWhinney,102,660,0.6666666666666666,0.5,0.16666666666666663
060002d,TD,MacWhinney,52,277,0.5740072202166066,0.5740072202166066,0.0
060123b,TD,MacWhinney,92,401,0.5311720698254364,0.47880299251870323,0.05236907730673318
060310b,TD,MacWhinney,135,1127,0.35048802129547474,0.323868677905945,0.02661934338952976
060310d,TD,MacWhinney,90,379,0.6226912928759895,0.6121372031662269,0.01055408970976257
060323a,TD,MacWhinney,18,57,0.543859649122807,0.6140350877192983,-0.07017543859649122
060422d,TD,MacWhinney,202,934,0.5353319057815846,0.5192719486081371,0.016059957173447548
060530b,TD,MacWhinney,92,332,0.6445783132530121,0.6957831325301205,-0.051204819277108404
061119b,TD,MacWhinney,133,658,0.729483282674772,0.6762917933130699,0.05319148936170215
061119c,TD,MacWhinney,54,219,0.8264840182648402,0.680365296803653,0.1461187214611872
070018a,TD,MacWhinney,73,269,0.9182156133828996,0.8773234200743495,0.040892193308550095
070309b,TD,MacWhinney,53,185,1.054054054054054,0.6756756756756757,0.3783783783783783
070318b,TD,MacWhinney,59,243,0.5308641975308642,0.4773662551440329,0.05349794238683131
070518b,TD,MacWhinney,60,250,1.252,1.2,0.052000000000000046
070600c,TD,MacWhinney,180,982,0.5376782077393075,0.49490835030549896,0.04276985743380857
1100,TD,EHS,71,394,0.9035532994923858,0.8908629441624365,0.012690355329949332
11006,TD,EllisWeismer,19,158,0.6265822784810127,0.5822784810126582,0.044303797468354444
112,TD,POLER,15,104,0.6826923076923077,0.7019230769230769,-0.019230769230769162
114,TD,POLER,26,87,0.27586206896551724,0.3333333333333333,-0.05747126436781608
12003,TD,EllisWeismer,13,177,0.6271186440677966,0.5932203389830508,0.03389830508474578
12071,TD,EllisWeismer,130,1044,0.5804597701149425,0.5890804597701149,-0.008620689655172376
1223,TD,EHS,240,699,0.8397711015736766,0.8969957081545065,-0.05722460658082984
125,TD,POLER,22,229,0.6899563318777293,0.537117903930131,0.15283842794759828
1281,TD,EHS,79,479,0.5553235908141962,0.49478079331941544,0.06054279749478081
14,TD,Gelman,59,232,0.9310344827586207,0.9698275862068966,-0.03879310344827591
146,TD,POLER,19,145,0.33793103448275863,0.2827586206896552,0.05517241379310345
1472,TD,EHS,68,323,0.8544891640866873,0.8668730650154799,-0.012383900928792602
1485,TD,EHS,89,467,0.69593147751606,0.6745182012847966,0.021413276231263434
163,TD,POLER,27,216,0.6666666666666666,0.47685185185185186,0.18981481481481477
17,TD,EHS,155,484,0.9421487603305785,0.8636363636363636,0.07851239669421484
21121,TD,EllisWeismer,95,416,0.6081730769230769,0.5480769230769231,0.060096153846153744
23,TD,Gelman,101,324,0.9074074074074074,0.9938271604938271,-0.08641975308641969
376,TD,EHS,144,564,0.8173758865248227,0.7925531914893617,0.024822695035461084
389,TD,EHS,85,353,0.8158640226628895,0.8385269121813032,-0.022662889518413665
47,TD,Gelman,160,701,0.920114122681883,0.9472182596291013,-0.02710413694721836
5012,TD,OCSC,507,2104,0.5741444866920152,0.5137832699619772,0.060361216730038025
5015,TD,OCSC,389,1213,0.5886232481450948,0.5218466611706513,0.06677658697444355
504,TD,ENNI,125,976,0.4026639344262295,0.26229508196721313,0.14036885245901637
5040,TD,OCSC,386,1164,0.6142611683848798,0.5609965635738832,0.053264604810996596
5051,TD,OCSC,448,1400,0.5514285714285714,0.48142857142857143,0.06999999999999995
506,TD,ENNI,77,560,0.24464285714285713,0.21071428571428572,0.03392857142857142
514,TD,ENNI,78,624,0.33814102564102566,0.2483974358974359,0.08974358974358976
52,TD,Gelman,129,612,0.923202614379085,0.9264705882352942,-0.0032679738562091387
528,TD,ENNI,130,951,0.39957939011566773,0.3028391167192429,0.09674027339642483
545,TD,ENNI,62,413,0.35351089588377727,0.3050847457627119,0.04842615012106538
549,TD,ENNI,105,810,0.22098765432098766,0.1382716049382716,0.08271604938271607
551,TD,ENNI,135,798,0.2731829573934837,0.20426065162907267,0.06892230576441102
6006,TD,OCSC,582,2482,0.4089443996776793,0.34367445608380337,0.06526994359387595
6010,TD,OCSC,417,1583,0.4403032217308907,0.425142135186355,0.015161086544535685
6013,TD,OCSC,635,2651,0.3904187099207846,0.3157299132402867,0.07468879668049788
6017,TD,OCSC,493,1436,0.5689415041782729,0.48259052924791085,0.08635097493036209
6022,TD,OCSC,382,1589,0.40969162995594716,0.2970421648835746,0.11264946507237256
6024,TD,OCSC,479,2538,0.35933806146572106,0.2840819542947203,0.07525610717100079
6027,TD,OCSC,388,1683,0.39572192513368987,0.33214497920380276,0.06357694592988711
6030,TD,OCSC,385,2321,0.3537268418785006,0.24687634640241277,0.10685049547608785
6032,TD,OCSC,481,2121,0.32814710042432815,0.27015558698727016,0.057991513437057995
6036,TD,OCSC,441,1807,0.38848920863309355,0.28334255672385167,0.10514665190924188
60417,TD,Braunwald,384,1526,0.7778505897771952,0.8237221494102228,-0.04587155963302758
6044,TD,OCSC,306,987,0.4518743667679838,0.3850050658561297,0.06686930091185411
6059,TD,OCSC,543,2403,0.30628381190178944,0.21972534332084895,0.08655846858094049
62,TD,EHS,138,657,0.741248097412481,0.7366818873668188,0.004566210045662156
626,TD,ENNI,83,598,0.49665551839464883,0.4297658862876254,0.06688963210702342
636,TD,ENNI,75,645,0.24186046511627907,0.14418604651162792,0.09767441860465115
637,TD,ENNI,55,392,0.4872448979591837,0.43112244897959184,0.056122448979591844
645,TD,ENNI,142,1071,0.4603174603174603,0.33426704014939307,0.12605042016806722
652,TD,ENNI,60,421,0.49643705463182897,0.31116389548693585,0.18527315914489312
656,TD,ENNI,86,535,0.2635514018691589,0.18691588785046728,0.07663551401869159
658,TD,ENNI,111,771,0.40207522697795073,0.24643320363164722,0.1556420233463035
7004,TD,OCSC,432,1906,0.3405036726128017,0.3126967471143757,0.027806925498426005
7014,TD,OCSC,538,2093,0.5011944577161969,0.4386048733874821,0.06258958432871475
7019,TD,OCSC,403,1742,0.41676234213547647,0.38002296211251435,0.03673938002296212
702,TD,ENNI,63,392,0.29336734693877553,0.14285714285714285,0.15051020408163268
7022,TD,OCSC,422,1442,0.4472954230235784,0.4119278779472954,0.03536754507628298
7028,TD,OCSC,394,2124,0.2871939736346516,0.21986817325800376,0.06732580037664784
7047,TD,OCSC,510,1746,0.4599083619702176,0.4043528064146621,0.055555555555555525
718,TD,ENNI,109,847,0.3778040141676505,0.2408500590318772,0.13695395513577333
720,TD,ENNI,81,731,0.17373461012311903,0.1039671682626539,0.06976744186046513
722,TD,ENNI,83,644,0.32608695652173914,0.16459627329192547,0.16149068322981366
732,TD,ENNI,109,786,0.29770992366412213,0.1743002544529262,0.12340966921119592
748,TD,ENNI,76,669,0.14798206278026907,0.1031390134529148,0.044843049327354265
754,TD,ENNI,61,500,0.32,0.234,0.086
761,TD,EHS,301,1295,0.6903474903474903,0.7073359073359073,-0.01698841698841702
768,TD,ENNI,119,1021,0.267384916748286,0.07541625857002938,0.19196865817825665
800,TD,EHS,35,150,0.7066666666666667,0.7066666666666667,0.0
8003,TD,OCSC,557,3073,0.23202082655385617,0.17246989912137975,0.05955092743247642
8007,TD,OCSC,665,2569,0.3452705332814325,0.30829116387699496,0.03697936940443752
8009,TD,OCSC,761,3403,0.33764325595063177,0.2562444901557449,0.08139876579488686
8012,TD,OCSC,434,1882,0.38257173219978746,0.32784272051009566,0.0547290116896918
8014,TD,OCSC,579,2959,0.38627914836093274,0.3247718823927002,0.06150726596823253
802,TD,ENNI,100,788,0.29949238578680204,0.15355329949238578,0.14593908629441626
8021,TD,OCSC,729,3206,0.34903306300686215,0.3025577043044292,0.04647535870243297
8029,TD,OCSC,462,2182,0.29560036663611367,0.18240146654445463,0.11319890009165903
8040,TD,OCSC,246,895,0.3027932960893855,0.22569832402234638,0.07709497206703911
8045,TD,OCSC,591,2437,0.3972096840377513,0.320475995075913,0.0767336889618383
8047,TD,OCSC,710,2916,0.338477366255144,0.24074074074074073,0.09773662551440329
812,TD,ENNI,89,753,0.25630810092961487,0.16069057104913678,0.09561752988047809
822,TD,ENNI,171,1297,0.17733230531996916,0.1195065535851966,0.05782575173477256
824,TD,ENNI,98,611,0.2700490998363339,0.18657937806873978,0.08346972176759412
830,TD,ENNI,77,557,0.19389587073608616,0.10233393177737882,0.09156193895870735
844,TD,ENNI,179,1251,0.2981614708233413,0.15267785771382894,0.14548361310951238
850,TD,ENNI,95,885,0.2598870056497175,0.13220338983050847,0.12768361581920903
867,TD,ENNI,101,956,0.24267782426778242,0.1600418410041841,0.08263598326359833
959,TD,ENNI,85,680,0.22794117647058823,0.14558823529411766,0.08235294117647057
JL,TD,Nippold,70,484,0.9276859504132231,0.9566115702479339,-0.02892561983471076
ZM,TD,Nippold,81,569,0.8154657293497364,0.7855887521968365,0.02987697715289983
allmt3,TD,HSLLD,45,280,0.7535714285714286,0.7678571428571429,-0.014285714285714346
annmt5,TD,HSLLD,112,475,0.9073684210526316,0.8778947368421053,0.02947368421052632
astmt3,TD,HSLLD,49,290,0.6517241379310345,0.6172413793103448,0.03448275862068961
bobbr2,TD,HSLLD,42,158,0.8164556962025317,0.8670886075949367,-0.050632911392405
catmt2,TD,HSLLD,64,252,0.9047619047619048,0.9484126984126984,-0.04365079365079361
catmt3,TD,HSLLD,46,208,0.8701923076923077,0.8509615384615384,0.019230769230769273
cla108,TD,Rescorla,82,685,0.40875912408759124,0.3167883211678832,0.09197080291970805
diamt3,TD,HSLLD,83,270,0.837037037037037,0.8740740740740741,-0.03703703703703709
donbr2,TD,HSLLD,25,122,0.9016393442622951,0.8852459016393442,0.016393442622950838
frank,TD,Gleason,266,857,0.5192532088681447,0.5600933488914819,-0.040840140023337135
gr160,TD,Rescorla,110,468,0.6709401709401709,0.6858974358974359,-0.014957264957265015
gr2108,TD,Rescorla,67,425,0.668235294117647,0.5435294117647059,0.12470588235294111
jesmt3,TD,HSLLD,66,272,0.8860294117647058,0.9154411764705882,-0.02941176470588236
ker108,TD,Rescorla,52,457,0.7483588621444202,0.6936542669584245,0.054704595185995686
kevmt3,TD,HSLLD,82,314,0.7579617834394905,0.767515923566879,-0.009554140127388533
lav108,TD,Rescorla,47,274,0.5072992700729927,0.46715328467153283,0.04014598540145986
megmt3,TD,HSLLD,134,575,0.6730434782608695,0.6660869565217391,0.006956521739130417
montp2,TD,HSLLD,22,91,0.8681318681318682,0.989010989010989,-0.1208791208791209
per60,TD,Rescorla,114,557,0.6552962298025135,0.6175942549371634,0.037701974865350096
rilmt3,TD,HSLLD,76,261,0.8773946360153256,0.9310344827586207,-0.05363984674329503
rosmt5,TD,HSLLD,77,437,1.002288329519451,1.011441647597254,-0.009153318077803174
sarmt3,TD,HSLLD,120,536,0.8190298507462687,0.8208955223880597,-0.001865671641791078
tro108,TD,Rescorla,67,536,0.9664179104477612,0.8507462686567164,0.11567164179104472
